Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Minnesota,US,2021-01-01 05:30:27,45.6945,-93.9002,415302,5382,397080.0,12840.0,27.0,7363.9911256621,5351379.0,,1.2959244116329804,84000027.0,USA,94888.79770878667,,2020-12-31,,
Mississippi,US,2021-01-01 05:30:27,32.7416,-89.6787,215811,4787,167263.0,43761.0,28.0,7251.350654822726,1343469.0,,2.218144580211389,84000028.0,USA,45141.18748758882,,2020-12-31,,
Missouri,US,2021-01-01 05:30:27,38.4561,-92.2884,440756,5724,,,29.0,7181.4447354820295,3638238.0,,1.2986777264518237,84000029.0,USA,59279.522301524354,,2020-12-31,,
Montana,US,2021-01-01 05:30:27,46.9219,-110.4544,81555,961,74991.0,5603.0,30.0,7630.677278162537,791589.0,,1.178345901538839,84000030.0,USA,74064.86660466439,,2020-12-31,,
Nebraska,US,2021-01-01 05:30:27,41.1254,-98.2681,166798,1651,105574.0,59573.0,31.0,8622.689732465953,1743719.0,,0.9898200218228036,84000031.0,USA,90142.255408373,,2020-12-31,,
Nevada,US,2021-01-01 05:30:27,38.3135,-117.0554,224731,3122,,,32.0,7296.091496664455,2081954.0,,1.3892164409894496,84000032.0,USA,67592.48557540592,,2020-12-31,,
New Hampshire,US,2021-01-01 05:30:27,43.4525,-71.5639,44882,759,37350.0,6773.0,33.0,3300.848489127469,1027265.0,,1.691101109576222,84000033.0,USA,75550.24560366137,,2020-12-31,,
New Jersey,US,2021-01-01 05:30:27,40.2989,-74.521,529027,19042,55670.0,454315.0,34.0,5956.042372432925,7735775.0,,3.5994382139285896,84000034.0,USA,87093.10429072111,,2020-12-31,,
New Mexico,US,2021-01-01 05:30:27,34.8405,-106.2485,142864,2477,65533.0,74854.0,35.0,6813.335756039239,1970212.0,,1.733816776794714,84000035.0,USA,93961.5009139992,,2020-12-31,,
New York,US,2021-01-01 05:30:27,42.1657,-74.9481,978783,37799,102129.0,838855.0,36.0,5031.382172138047,25285060.0,,3.8618365868634825,84000036.0,USA,129976.5117553542,,2020-12-31,,
North Carolina,US,2021-01-01 05:30:27,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,6931098.0,,1.2506834462371073,84000037.0,USA,6.608545469315463e-06,,2020-12-31,,
North Dakota,US,2021-01-01 05:30:27,47.5289,-99.784,92098,1299,89314.0,1882.0,38.0,12137.46388089158,1277930.0,,1.4044002378506946,84000038.0,USA,167693.70471169017,,2020-12-31,,
Northern Mariana Islands,US,2021-01-01 05:30:27,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2020-12-31,,
Ohio,US,2021-01-01 05:30:27,40.3888,-82.7649,700380,13621,556106.0,130653.0,39.0,5991.735890701594,8717142.0,,1.944801393529227,84000039.0,USA,7.457496299971768e-06,,2020-12-31,,
Oklahoma,US,2021-01-01 05:30:27,35.5653,-96.9289,291209,2489,255843.0,32877.0,40.0,7359.391817630202,2668245.0,,0.854712594734366,84000040.0,USA,67431.50253059728,,2020-12-31,,
Oregon,US,2021-01-01 05:30:27,44.572,-122.0709,113909,1477,5870.0,106562.0,41.0,2700.713676552142,2652670.0,,1.2966490795283954,84000041.0,USA,62893.20552703974,,2020-12-31,,
Pennsylvania,US,2021-01-01 05:30:27,40.5908,-77.2098,648574,16030,429017.0,203527.0,42.0,5066.197135460748,7554677.0,,2.4715761038832884,84000042.0,USA,30506.618932417456,,2020-12-31,,
Puerto Rico,US,2021-01-01 05:30:27,18.2208,-66.5901,76291,1503,66113.0,8675.0,72.0,2388.8011813279545,1383067.0,,1.970088214861517,630.0,PRI,43306.18399884272,,2020-12-31,,
Rhode Island,US,2021-01-01 05:30:27,41.6809,-71.5118,87949,1930,5381.0,80638.0,44.0,8302.080216281325,1974498.0,,2.194453603793108,84000044.0,USA,186385.75518638128,,2020-12-31,,
South Carolina,US,2021-01-01 05:30:27,33.8569,-80.945,307507,5296,151084.0,151127.0,45.0,5972.501094448051,3173021.0,,1.7222372173641576,84000045.0,USA,61627.44716447641,,2020-12-31,,
South Dakota,US,2021-01-01 05:30:27,44.2998,-99.4388,99164,1488,91980.0,5696.0,46.0,11209.290811487816,594876.0,,1.5005445524585534,84000046.0,USA,6.724353677518682e-06,,2020-12-31,,
Tennessee,US,2021-01-01 05:30:27,35.7478,-86.6923,585505,6907,508914.0,69842.0,47.0,8575.898051506669,5644058.0,,1.1793471672275695,84000047.0,USA,82646.27610894085,,2020-12-31,,
Texas,US,2021-01-01 05:30:27,31.0545,-97.5635,1803160,28077,1423001.0,352415.0,48.0,6219.786872487165,13742979.0,,1.5562118169186052,84000048.0,USA,47396.31466965946,,2020-12-31,,
Utah,US,2021-01-01 05:30:27,40.15,-111.8624,276612,1269,224439.0,50904.0,49.0,8628.060629615235,2245303.0,,0.4587653464057958,84000049.0,USA,70035.32173534401,,2020-12-31,,
Vermont,US,2021-01-01 05:30:27,44.0459,-72.7107,7412,136,4959.0,2317.0,50.0,1187.8414523332942,697705.0,,1.834862385321101,84000050.0,USA,111813.66979225595,,2020-12-31,,
Virgin Islands,US,2021-01-01 05:30:27,18.3358,-64.8963,2031,23,1884.0,124.0,78.0,1893.3885222060635,36170.0,,1.1324470704086658,850.0,VIR,33719.28254465451,,2020-12-31,,
Virginia,US,2021-01-01 05:30:27,37.7693,-78.17,349584,5032,30707.0,313845.0,51.0,4095.63847259903,4255991.0,,1.439425145315575,84000051.0,USA,49862.12320539618,,2020-12-31,,
Washington,US,2021-01-01 05:30:27,47.4009,-121.4905,246752,3461,,,53.0,3240.3869627583736,3805390.0,,1.402622876410323,84000053.0,USA,49972.99371113948,,2020-12-31,,
West Virginia,US,2021-01-01 05:30:27,38.4912,-80.9545,85334,1338,59508.0,24488.0,54.0,4761.551368275035,1514520.0,,1.567956500339841,84000054.0,USA,84508.69264630637,,2020-12-31,,
Wisconsin,US,2021-01-01 05:30:27,44.2685,-89.6165,520438,5242,447500.0,67696.0,55.0,8938.495481442984,5348488.0,,1.0072285267409375,84000055.0,USA,9.186000219152333e-06,,2020-12-31,,
Wyoming,US,2021-01-01 05:30:27,42.756,-107.3025,44409,438,42570.0,1401.0,56.0,7673.142015934093,501784.0,,0.9862865635344188,84000056.0,USA,86699.99084247503,,2020-12-31,,
Alabama,US,2021-01-02 05:30:44,32.3182,-86.9023,365747,4872,202137.0,158738.0,1.0,7459.375895463867,,,1.3320683423240656,84000001.0,USA,,,2021-01-01,,
Alaska,US,2021-01-02 05:30:44,61.3707,-152.4044,47019,206,7165.0,39648.0,2.0,6427.355801762024,1275750.0,,0.4381207596928901,84000002.0,USA,174391.1857780451,,2021-01-01,,
American Samoa,US,2021-01-02 05:30:44,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,2021-01-01,,
Arizona,US,2021-01-02 05:30:44,33.7298,-111.4312,530267,9015,76934.0,444318.0,4.0,7285.171274003372,5155330.0,,1.7000869373353424,84000004.0,USA,39551.860582022906,,2021-01-01,,
Arkansas,US,2021-01-02 05:30:44,34.9697,-92.3731,229442,3711,199247.0,26484.0,5.0,7602.945718144717,2051488.0,,1.6174022192972517,84000005.0,USA,67979.49767446793,,2021-01-01,,
California,US,2021-01-02 05:30:44,36.1162,-119.6816,2434943,26258,,,6.0,6164.469662969861,33058311.0,,1.0743439616803088,84000006.0,USA,83666.03670970372,,2021-01-01,,
Colorado,US,2021-01-02 05:30:44,39.0598,-105.3111,362438,5435,18102.0,314186.0,8.0,5854.774381044729,4444206.0,,1.4453035790023163,84000008.0,USA,77173.28941628858,,2021-01-01,,
Connecticut,US,2021-01-02 05:30:44,41.5978,-72.7554,185708,5995,9800.0,169913.0,9.0,5208.781228551867,4320693.0,,3.2281861847631768,84000009.0,USA,121187.80339422885,,2021-01-01,,
Delaware,US,2021-01-02 05:30:44,39.3185,-75.5071,58064,1065,18851.0,38148.0,10.0,5962.841099075341,1021582.0,,1.8341829705152928,84000010.0,USA,1.0491063543117223e-05,,2021-01-01,,
Diamond Princess,US,2021-01-02 05:30:44,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2021-01-01,,
District of Columbia,US,2021-01-02 05:30:44,38.8974,-77.0268,29252,788,20941.0,7523.0,11.0,4144.816358223675,904302.0,,2.6938329003145083,84000011.0,USA,128133.65658328951,,2021-01-01,,
Florida,US,2021-01-02 05:30:44,27.7663,-81.6868,1323315,21673,,,12.0,6161.333477544678,17392558.0,,1.6377808760574768,84000012.0,USA,80979.47190618825,,2021-01-01,,
Georgia,US,2021-01-02 05:30:44,33.0406,-83.6431,677589,10958,,,13.0,6381.859326881862,5401054.0,,1.6172045295894708,84000013.0,USA,50869.726109621886,,2021-01-01,,
Grand Princess,US,2021-01-02 05:30:44,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2021-01-01,,
Guam,US,2021-01-02 05:30:44,13.4443,144.7937,7326,122,7047.0,157.0,66.0,4460.844308861407,96201.0,,1.6653016653016652,316.0,GUM,58577.35235555231,,2021-01-01,,
Hawaii,US,2021-01-02 05:30:44,21.0943,-157.4983,22397,289,11958.0,10150.0,15.0,1581.8520318220856,816811.0,,1.2903513863463856,84000015.0,USA,57689.60753514442,,2021-01-01,,
Idaho,US,2021-01-02 05:30:44,44.2405,-114.4788,141077,1436,58649.0,80992.0,16.0,7894.340720678879,545485.0,,1.0178838506631132,84000016.0,USA,30524.071592247623,,2021-01-01,,
Illinois,US,2021-01-02 05:30:44,40.3495,-88.9861,963389,17978,,,17.0,7602.6089699341555,13374665.0,,1.866120539055356,84000017.0,USA,105546.5114287836,,2021-01-01,,
Indiana,US,2021-01-02 05:30:44,39.8494,-86.2583,517773,9468,345474.0,162831.0,18.0,7690.970837401457,5730043.0,,1.828600564339972,84000018.0,USA,8.51137344165423e-06,,2021-01-01,,
Iowa,US,2021-01-02 05:30:44,42.0115,-93.2105,282980,3898,241229.0,37853.0,19.0,8969.056154063142,1174406.0,,1.3774825075977102,84000019.0,USA,37222.81914505859,,2021-01-01,,
Kansas,US,2021-01-02 05:30:44,38.5266,-96.7265,230108,2892,4612.0,222604.0,20.0,7898.496351577619,1012506.0,,1.2568011542406174,84000020.0,USA,34754.441162195355,,2021-01-01,,
Kentucky,US,2021-01-02 05:30:44,37.6681,-84.6701,265261,2623,36740.0,225898.0,21.0,5937.341430315066,3148606.0,,0.9888374091932096,84000021.0,USA,70475.30112432133,,2021-01-01,,
Louisiana,US,2021-01-02 05:30:44,31.1695,-91.8678,315275,7488,263712.0,44075.0,22.0,6781.866436757577,4214182.0,,2.375069383871224,84000022.0,USA,90651.08068888405,,2021-01-01,,
Maine,US,2021-01-02 05:30:44,44.6939,-69.3819,24902,352,11374.0,13176.0,23.0,1852.535165584,1111413.0,,1.4135410810376676,84000023.0,USA,82681.37763983657,,2021-01-01,,
Maryland,US,2021-01-02 05:30:44,39.0639,-76.8021,280219,5942,9358.0,264919.0,24.0,4635.028648555663,5761534.0,,2.120484335466189,84000024.0,USA,9.530001587910706e-06,,2021-01-01,,
Massachusetts,US,2021-01-02 05:30:44,42.2302,-71.5301,375178,10522,261672.0,101083.0,25.0,5443.276557152025,10944699.0,,3.3112282703143574,84000025.0,USA,1.587913563476142e-05,,2021-01-01,,
Michigan,US,2021-01-02 05:30:44,43.3266,-84.5361,528621,13018,318389.0,197214.0,26.0,5293.166809137249,8202753.0,,2.462633909738736,84000026.0,USA,8.213548066223438e-06,,2021-01-01,,
Minnesota,US,2021-01-02 05:30:44,45.6945,-93.9002,415302,5382,397080.0,12840.0,27.0,7363.9911256621,5351379.0,,1.2959244116329804,84000027.0,USA,94888.79770878667,,2021-01-01,,
Mississippi,US,2021-01-02 05:30:44,32.7416,-89.6787,218386,4816,167263.0,46307.0,28.0,7337.871860582249,1346044.0,,2.205269568562087,84000028.0,USA,45227.70869334835,,2021-01-01,,
Missouri,US,2021-01-02 05:30:44,38.4561,-92.2884,445019,5747,397080.0,42192.0,29.0,7250.903798789982,3665980.0,,1.2914055354939902,84000029.0,USA,59731.53575080637,,2021-01-01,,
Montana,US,2021-01-02 05:30:44,46.9219,-110.4544,81555,961,74991.0,5603.0,30.0,7630.677278162537,791589.0,,1.178345901538839,84000030.0,USA,74064.86660466439,,2021-01-01,,
Nebraska,US,2021-01-02 05:30:44,41.1254,-98.2681,167716,1668,107694.0,58354.0,31.0,8670.146111885393,1755820.0,,0.994538386319731,84000031.0,USA,90767.82147302949,,2021-01-01,,
Nevada,US,2021-01-02 05:30:44,38.3135,-117.0554,227046,3143,,,32.0,7371.250027596005,2095778.0,,1.3843009786563076,84000032.0,USA,68041.29401238119,,2021-01-01,,
New Hampshire,US,2021-01-02 05:30:44,43.4525,-71.5639,45932,759,37350.0,7823.0,33.0,3378.070781217479,1035377.0,,1.6524427414438736,84000033.0,USA,76146.84296883676,,2021-01-01,,
New Jersey,US,2021-01-02 05:30:44,40.2989,-74.521,535043,19160,56109.0,459774.0,34.0,6023.773416240814,7792714.0,,3.5810205908683974,84000034.0,USA,87734.15114966016,,2021-01-01,,
New Mexico,US,2021-01-02 05:30:44,34.8405,-106.2485,144142,2502,66638.0,75002.0,35.0,6874.284932152312,1983507.0,,1.7357883198512578,84000035.0,USA,94595.5535716074,,2021-01-01,,
New York,US,2021-01-02 05:30:44,42.1657,-74.9481,995816,37973,102968.0,854875.0,36.0,5118.939406517912,25504313.0,,3.8132546574869255,84000036.0,USA,131103.5701895401,,2021-01-01,,
North Carolina,US,2021-01-02 05:30:44,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,7004021.0,,1.2506834462371073,84000037.0,USA,6.678074851421861e-06,,2021-01-01,,
North Dakota,US,2021-01-02 05:30:44,47.5289,-99.784,92222,1316,89314.0,2140.0,38.0,12173.550183580865,1277930.0,,1.4185620351406705,84000038.0,USA,167693.70471169017,,2021-01-01,,
Northern Mariana Islands,US,2021-01-02 05:30:44,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-01,,
Ohio,US,2021-01-02 05:30:44,40.3888,-82.7649,700380,13766,556106.0,130508.0,39.0,5991.735890701594,8757248.0,,1.9655044404466149,84000039.0,USA,7.491806897023723e-06,,2021-01-01,,
Oklahoma,US,2021-01-02 05:30:44,35.5653,-96.9289,291209,2489,255843.0,32877.0,40.0,7359.391817630202,2685254.0,,0.854712594734366,84000040.0,USA,67861.35152367808,,2021-01-01,,
